Pathway,First Reaction,Second Reaction,Second Reaction Author
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109639"",""R-HSA-109639"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109639"",""R-HSA-109639"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73946"",""R-HSA-73946"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109637"",""R-HSA-109637"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73946"",""R-HSA-73946"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109636"",""R-HSA-109636"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73946"",""R-HSA-73946"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75095"",""R-HSA-75095"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73946"",""R-HSA-73946"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109639"",""R-HSA-109639"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73946"",""R-HSA-73946"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109638"",""R-HSA-109638"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75856"",""R-HSA-75856"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109637"",""R-HSA-109637"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75856"",""R-HSA-75856"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109636"",""R-HSA-109636"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75856"",""R-HSA-75856"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75095"",""R-HSA-75095"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75856"",""R-HSA-75856"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109639"",""R-HSA-109639"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75856"",""R-HSA-75856"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109638"",""R-HSA-109638"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75869"",""R-HSA-75869"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109637"",""R-HSA-109637"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75873"",""R-HSA-75873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109637"",""R-HSA-109637"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75873"",""R-HSA-75873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109636"",""R-HSA-109636"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75873"",""R-HSA-75873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75095"",""R-HSA-75095"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75891"",""R-HSA-75891"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75095"",""R-HSA-75095"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75891"",""R-HSA-75891"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109639"",""R-HSA-109639"")","Reinberg, D"
Gene expression (Transcription),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75891"",""R-HSA-75891"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109638"",""R-HSA-109638"")","Reinberg, D"
